DeptCode,Year,Month,AccountCode,SaveOption,Amount,UpdateTime,UpdateUser
R12_04_LTN,2015,7,1__1_3__3_6__3_3_3,receive,39591103,13:51.7,D_SSM
R12_04_LTN,2017,5,1__1_3__3_6__3_16_,receive,39279216,37:44.9,D_MMA
R12_04_LTN,2016,11,2__2_1__1_1__4,receive,38676250,59:41.9,D_MMA
R12_04_LTN,2014,12,1__1_3__3_6__3_3_3,receive,38428015,01:22.6,D_DNS
R12_04_LTN,2014,2,1__1_3__3_6__3_3_3,receive,37992619,00:40.2,D_YYS
R12_04_LTN,2015,8,2__2_1__1_3,receive,37624068.3,18:09.1,D_SSM
R12_04_LTN,2015,8,2__2_1__1_3__2_,receive,37624068.3,18:09.1,D_SSM
R12_04_LTN,2017,1,2__2_1__1_1__4,receive,37090238,24:56.2,D_MMA
R12_04_LTN,2015,2,2__2_1__1_3,receive,36490695.53,08:47.9,D_DNS
R12_04_LTN,2015,2,2__2_1__1_3__2_,receive,36490695.53,08:47.9,D_DNS
R12_04_LTN,2013,8,1__1_8__8_1,receive,35390250,31:53.2,D_DNS
R12_04_LTN,2016,3,2__2_1__1_1__3,receive,35353892.4,04:04.2,D_SSM
R12_04_LTN,2014,1,2__2_1__1_3__3,receive,35325000,14:04.3,D_DNS
R12_04_LTN,2013,12,2__2_1__1_3,receive,34856137.21,35:15.5,D_DNS4
R12_04_LTN,2016,12,2__2_1__1_1__4,receive,34497360,07:48.5,D_MMA
R12_04_LTN,2015,9,1__1_3__3_6__3_3_3,receive,34181626,18:41.2,D_SSM
R12_04_LTN,2017,2,2__2_1__1_3__2_,receive,33637718.44,04:47.0,D_MMA
R12_04_LTN,2013,11,1__1_3__3_6__3_3_3,receive,33511262,38:07.6,D_DNS
R12_04_LTN,2016,9,2__2_1__1_1__4,receive,33373650,15:23.9,D_MMA
R12_04_LTN,2013,6,1__1_3__3_6__3_3_3,receive,33039330,26:40.2,D_DNS
R12_04_LTN,2015,10,1__1_3__3_6__3_3_3,receive,33008284,24:30.7,D_SSM
R12_04_LTN,2013,9,2__2_1__1_1__4,receive,30976514,37:22.8,D_DNS
R12_04_LTN,2014,12,2__2_1__1_1__4,receive,30501354,01:22.6,D_DNS
R12_04_LTN,2016,9,2__2_1__1_3,receive,30389314.54,15:23.9,D_MMA
R12_04_LTN,2016,9,2__2_1__1_3__2_,receive,30389314.54,15:23.9,D_MMA
R12_04_LTN,2014,9,1__1_3__3_6__3_3_3,receive,30125155,07:55.5,D_DNS
R12_04_LTN,2014,10,2__2_1__1_3,receive,30009456.46,26:19.7,D_DNS
R12_04_LTN,2014,10,2__2_1__1_3__2_,receive,29986581.46,26:19.7,D_DNS
R12_04_LTN,2016,3,2__2_1__1_1__1,receive,28954317.45,04:04.2,D_SSM
R12_04_LTN,2014,9,2__2_1__1_1__4,receive,28718764,07:55.5,D_DNS
R12_04_LTN,2016,9,1__1_3__3_6__3_3_3,receive,28479120,15:23.9,D_MMA
R12_04_LTN,2014,6,1__1_3__3_6__3_3_3,receive,28401025,15:51.9,D_DNS
R12_04_LTN,2014,10,1__1_3__3_6__3_3_3,receive,27375427,26:19.7,D_DNS
