DeptCode,Year,Month,SaveOption,Amount,UpdateTime,UpdateUser
R12_04_LTN,2014,10,receive,29986581.46,26:19.7,D_DNS
R12_04_LTN,2016,3,receive,28954317.45,04:04.2,D_SSM
R12_04_LTN,2014,9,receive,28718764,07:55.5,D_DNS
R12_04_LTN,2016,9,receive,28479120,15:23.9,D_MMA
R12_04_LTN,2014,6,receive,28401025,15:51.9,D_DNS
R12_04_LTN,2014,10,receive,27375427,26:19.7,D_DNS
R12_04_LTN,2014,10,receive,27360170,26:19.7,D_DNS
R12_04_LTN,2015,1,receive,26771649.97,38:28.3,D_DNS
R12_04_LTN,2015,1,receive,26771649.97,38:28.3,D_DNS
R12_04_LTN,2015,6,receive,26521800,11:07.3,D_SSM
R12_04_LTN,2013,11,receive,26341665,38:07.6,D_DNS
R12_04_LTN,2015,1,receive,26190000,38:28.3,D_DNS
R12_04_LTN,2013,8,receive,26071658,31:53.2,D_DNS
R12_04_LTN,2014,12,receive,25947750,01:22.6,D_DNS
R12_04_LTN,2017,3,receive,24194693,40:54.9,D_MMA
R12_04_LTN,2016,10,receive,24076285,59:46.8,D_MMA
R12_04_LTN,2016,2,receive,23841303.58,28:13.5,D_SSM
R12_04_LTN,2016,2,receive,23841303.58,28:13.5,D_SSM
R12_04_LTN,2013,7,receive,23520000,27:57.6,D_DNS
R12_04_LTN,2015,11,receive,22655000,26:49.5,D_SSM
R12_04_LTN,2015,5,receive,22337618,47:16.0,D_SSM
R12_04_LTN,2014,6,receive,21851550,15:51.9,D_DNS
R12_04_LTN,2014,10,receive,21366160,26:19.7,D_DNS
R12_04_LTN,2015,12,receive,21245131.54,27:18.2,D_SSM
R12_04_LTN,2015,12,receive,21245131.54,27:18.2,D_SSM
R12_04_LTN,2013,7,receive,20863356,27:57.6,D_DNS
R12_04_LTN,2014,1,receive,20419395,14:04.3,D_DNS
R12_04_LTN,2015,2,receive,20111645,08:47.9,D_DNS
R12_04_LTN,2014,4,receive,20020695,15:12.3,D_DNS
R12_04_LTN,2017,2,receive,19379265,04:47.0,D_MMA
R12_04_LTN,2013,6,receive,19230000,26:40.2,D_DNS
R12_04_LTN,2013,6,receive,19230000,26:40.2,D_DNS
R12_04_LTN,2014,11,receive,18965177,26:18.1,D_DNS
R12_04_LTN,2017,3,receive,18914660,40:54.9,D_MMA
R12_04_LTN,2015,3,receive,18862472.63,32:10.3,D_DNS
R12_04_LTN,2013,7,receive,18836714,27:57.6,D_DNS
R12_04_LTN,2015,8,receive,18716393,18:09.1,D_SSM
R12_04_LTN,2016,8,receive,18534705,43:35.4,D_MMA
R12_04_LTN,2016,5,receive,18315000,24:36.5,D_MMA
R12_04_LTN,2015,6,receive,18108181,11:07.3,D_SSM
R12_04_LTN,2015,9,receive,17975349,18:41.2,D_SSM
R12_04_LTN,2015,9,receive,17904976.66,18:41.2,D_SSM
R12_04_LTN,2015,9,receive,17904976.66,18:41.2,D_SSM
